a [a:]
abostel [a’bɔstɛl]
a-boynt [a’bɔɪnt]
abrans [‘abrans]
a-brys [a’brɪ:z]
absolut [ˌabzɔ’ly:t]
abusya [ab’y:zja]
acheson [a’ʧɛ:zɔn]
a-dal [a’da:l]
adamant [‘adamant]
a-barth [a’barθ]
adamantek [ˌada’mantɛk]
addya [‘adja]
addyans [‘adjans]
abas [‘abas]
abasel [a’bazɛl]
aden [‘adɛn]
abases [a’bazɛs]
a-denewen [ˌadɛ’nɛwɛn]
abatti [a’bati]
abecedari [aˌbɛsɛ’dari]
a-der [a’dɛ:r]
abel [‘abəl]
a-bell [a’bɛl:]
a-derdro [ˌadɛr’drɔ:]
a-dermyn [a’dɛrmɪn]
aber [‘abɛr]
a-berth [a’bɛrθ]
a-bervedh [a’bɛrvɛð]
abhorrya [ab’hɔrˑja]
a-dhedro [ˌaðə’drɔ:]
a-dhelergh [ˌaðə’lɛrx]
a-borpos [a’bɔrpɔs]
a-dherag [ˌaðə’ra:g]
adla [‘adla]
adoptya [a’dɔptja]
adoptyans [a’dɔptjans]
a-dhesempis [ˌaðə’zɛmpɪs]
-adow [-adɔʊ]
a-dre [a’drɛ:]
a-dreus [a’drø:z]
a-dro [a’drɔ:]
a-dhewis [a’ðɛwɪs]
a-dhistowgh [a’ðɪstɔʊx]
a-droos [a’dro:z]
a-dryv [a’drɪ:v]
a-dhiwedhes [ˌaðɪ’wɛðɛs]
adverb [‘advɛrb]
affirmya [a’fɪrmja]
adhves [‘aðvɛs]
affordya [a’fɔrdja]
affordyadow [ˌafɔrd’jadɔʊ]
adhvesi [að’vɛzi]
afia [a’fi:a]
adhvetter [að’vɛtɛr]
afina [a’fina]
a-dhyghow [a’ðɪhɔʊ]
afinus [a’finʏs]
a-dhyghowbarth [ˌaðɪ’hɔʊbarθ]
afinuster [ˌafɪ’nʏstɛr]
adhyskans [a’ðɪskans]
afinys [a’finɪs]
Afrika [‘afrɪka]
adhyskansel [ˌaðɪ’skanzɛl]
Afrikan [‘afrɪkan]
adhyski [a’ðɪski]
afrikan [‘afrɪkan]
Afrikanes [ˌafrɪ’kanɛs]
afydhya [a’fɪðja]
agan [ˌagan]
akademek [ˌaka’dɛmɛk]
gan [ˌagan]
akademi [a’kadɛmi]
agas [ˌagas]
akademoges [aˌkadɛ’mɔgɛs]
gas [ˌagas]
akont [a’kɔnt]
ages [aˌgɛˑs]
akontya [a’kɔntja]
akontyades [ˌakɔnt’jadɛs]
akontyas [a’kɔntjas]
aghskrif [‘axskrɪf]
akontydh [a’kɔntɪð]
a-gledh [a’glɛ:ð]
akontydhes [ˌakɔn’tɪðɛs]
a-gledhbarth [a’glɛðbarθ]
akord [‘akɔrd]
agnosteges [ˌagnɔs’tɛgɛs]
akordus [a’kɔrdʏs]
agnostek [ag’nɔstɛk]
akordya [a’kɔrdja]
agria [a’gri:a]
a-gynsow [a’gɪnzɔʊ]
akordys [a’kɔrdɪs]
akoustek [a’ku:stɛk]
ahanan [a’hanan]
akrylek [ak’rɪlɛk]
a-has [a’ha:z]
akt [akt]
ahwer [a’ʍɛ:r]
aktivita [ak’tɪvɪta]
ahwerek [a’ʍɛrɛk]
aktya [‘aktja]
ahwesydh [a’ʍɛzɪð]
akusacyon [ˌaky’zasjɔn]
a-hys [a’hɪ:z]
akusya [a’kyzja]
a-is [a’i:z]
akwirya [a’kwi:rja]
akwytya [a’kwɪtja]
a-ji [a’ʤi:]
akwytyans [a’kwɪtjans]
alamand [‘alamant]
alargh [‘alarx]
alarm [a’larm]
alibi [‘alɪbi]
aligator [ˌalɪ’ga:tɔr]
Alban [‘alban]
alinya [a’li:nja]
alinyans [a’li:njans]
albanek [al’banɛk]
Albanes [al’banɛs]
aljebra [al’ʤɛbra]
alkan [‘alkan]
Albani [al’bani]
alkemi [‘alkɛmi]
Albanian [ˌalba’ni:an]
alkohol [‘alkɔhɔl]
alkoholek [ˌalkɔ’hɔlɛk]
Albanianes [alˌbani’anɛs]
alkohologes [alˌkɔhɔ’lɔgɛs]
Albaniek [ˌalba’ni:ɛk]
alkohologeth [alˌkɔhɔ’lɔgɛθ]
albaniek [ˌalba’ni:ɛk]
albom [‘albɔm]
Alman [‘alman]
Almanes [al’manɛs]
Almayn [‘almaɪn]
alejya [a’lɛʤja]
alejyans [a’lɛʤjans]
Almaynek [al’maɪnɛk]
alejys [a’lɛʤɪs]
almaynek [al’maɪnɛk]
alemma [a’lɛm:a]
aloes [a’lɔ:ɛs]
alowa [a’lɔwa]
Alpys [‘alpɪs]
a-lemmyn [a’lɛm:ɪn]
als [alz]
alena [a’lɛna]
alsen [‘alzɛn]
alergedh [a’lɛrgɛð]
alergek [a’lɛrgɛk]
altrewen [al’trɛwɛn]
a-lergh [a’lɛrx]
a-les [a’lɛ:z]
altrow [‘altrɔʊ]
alhwedh [‘alʍɛð]
aluminiom [ˌalʏ’mɪnjɔm]
alusen [a’lʏzɛn]
alhwedha [al’ʍɛða]
alhwedhen [al’ʍɛðɛn]
aluseneth [ˌalʏ’zɛnɛθ]
alhwedhor [al’ʍɛðɔr]
alyon [‘aljɔn]
alhwedhores [ˌalʍɛ’ðɔrɛs]
amal [‘amal]
amovya [a’mɔvja]
amalek [a’malɛk]
amovyans [a’mɔvjans]
amalgam [a’malgam]
amovys [a’mɔvɪs]
amser [‘amzɛr]
amanyn [a’manɪn]
amari [‘amari]
amber [‘ambɛr]
ambos [‘ambɔs]
amseryow [am’zɛrjɔʊ]
ambosa [am’bɔza]
amstyryus [am’stɪrjʏs]
ambosys [am’bɔzɪs]
amyttya [a’mɪtja]
amyttyans [a’mɪtjans]
an [an]
ambulans [‘ambʏlans]
amendya [a’mɛndja]
amendyans [a’mɛndjans]
an- [an-]
anabel [an’abɛl]
anadhves [an’aðvɛs]
amendys [a’mɛndɪs]
anal [‘anal]
Amerika [a’mɛrɪka]
analog [‘analɔk]
Amerikan [ˌamɛ’rɪkan]
analogieth [aˌnalɔ’gi:ɛθ]
amerikanek [aˌmɛrɪ’kanɛk]
anbarhus [an’barhʏs]
andhemedhys [ˌanðɛ’mɛðɪs]
Amerikanes [aˌmɛrɪ’kanɛs]
andhesiradow [anˌðɛzɪ’radɔʊ]
amethi [a’mɛθi]
andheskrifadow [anˌðɛskrɪ’fadɔʊ]
amkan [‘amkan]
andhiblans [an’ðɪblans]
amm [am:]
amma [‘am:a]
andhidro [ˌanðɪ’drɔ:]
andhien [an’ði:ɛn]
ammeth [‘am:ɛθ]
andhiogel [ˌanði’ɔgɛl]
amnesti [‘amnɛsti]
andhiogeledh [anˌðiɔ’gɛlɛð]
amontya [a’mɔntja]
androw [‘andrɔʊ]
anhwek [‘anʍɛk]
androweyth [an’drɔwɛɪθ]
ania [a’ni:a]
anedhel [a’nɛðɛḽ]
anion [an’i:ɔn]
anedhyades [ˌanɛð’jadɛs]
anedhyans [a’nɛðjans]
anjust [‘anʤʏst]
anjustis [an’ʤʏstɪs]
anedhyas [a’nɛðjas]
ankablus [aŋ’kablʏs]
anedhys [a’nɛðɪs]
aneffeythus [ˌanɛ’fɛɪθʏs]
ankelmys [aŋ’kɛlmɪs]
ankemeradow [aŋˌkɛmɛ’radɔʊ]
anella [a’nɛl:a]
anemek [a’nɛmɛk]
ankemmyn [aŋ’kɛm:ɪn]
anemia [ˌanɛ’mi:a]
anes [‘anɛs]
ankempen [aŋ’kɛmpɛn]
anken [‘aŋkɛn]
aneth [‘anɛθ]
anethek [a’nɛθɛk]
ankensi [aŋ’kɛnzi]
anewn [‘anɛʊn]
ankevi [aŋ’kɛvi]
anfel [‘anfɛl]
anfeus [‘anfœs]
ankewar [aŋ’kɛwar]
anfeusik [an’fœzɪk]
ankewerder [ˌaŋkɛ’wɛrdɛr]
anklevesadow [aŋˌklɛvɛ’zadɔʊ]
anfur [‘anfʏr]
anfurvus [an’fʏrvʏs]
ankombra [aŋ’kɔmbra]
angespos [aŋ’gɛspɤs]
ankombrus [aŋ’kɔmbrʏs]
Anglikan [‘aŋglɪkan]
Anglikanes [ˌaŋglɪ’kanɛs]
Anglikanieth [aŋˌglɪka’ni:ɛθ]
ankombrynsi [ˌaŋkɔm’brɪnzi]
angos [‘aŋgɤs]
angra [‘aŋgra]
ankombrys [aŋ’kɔmbrɪs]
anhedhek [an’hɛðɛk]
ankompes [aŋ’kɔmpɛs]
anhegol [an’hɛgɔl]
ankonvedhadow [aŋˌkɔnvɛ’ðadɔʊ]
anserghek [an’sɛrhɛk]
ankor [‘aŋkɔr]
ankorva [aŋ’kɔrva]
anserghogeth [ˌansɛr’hɔgɛθ]
ankoth [‘aŋkɔθ]
ansodhogel [ˌansɤ’ðɔgɛl]
ankov [‘aŋkɔv]
ansur [‘ansʏr]
Ankow [‘aŋkɔʊ]
ansurneth [an’sʏrnɛθ]
ankres [‘aŋkrɛs]
ankresya [aŋ’krɛzja]
Antarktek [ant’arktɛk]
ankresyans [aŋ’krɛzjans]
antavadow [ˌanta’vadɔʊ]
ankrydor [aŋ’krɪdɔr]
antempna [an’tɛmpna]
ankrysadow [ˌaŋkrɪ’zadɔʊ]
anteythi [an’tɛɪθi]
anlaghel [an’lahɛl]
anvas [‘anvas]
anvaseth [an’vazɛθ]
anlehadow [ˌanlɛ’hadɔʊ]
anvenowgh [an’vɛnɔʊx]
anles [‘anlɛs]
anvlasus [an’vlazʏs]
anvodhek [an’vɔðɛk]
anweladewder [anˌwɛla’dɛʊdɛr]
anlettrys [an’lɛtrɪs]
anlettryseth [ˌanlɛt’rɪzɛθ]
anweladow [ˌanwɛ’ladɔʊ]
anlowr [‘anlɔʊr]
annedh [‘an:ɛð]
anweythresek [ˌanwɛɪθ’rɛzɛk]
anodho [a’nɔðɔ]
anorak [‘anɔrak]
anwir [‘anwɪr]
anorganek [ˌanɔ’rganɛk]
anwirder [an’wɪrdɛr]
anwiw [‘anwɪʊ]
anwoheladow [anˌwɔhɛ’ladɔʊ]
anoyntya [an’ɔɪntja]
anperfydh [an’pɛrfɪð]
anwos [‘anwɤs]
anwosek [an’wɤzɛk]
anplegadow [ˌanplɛ’gadɔʊ]
anwosi [an’wɤzi]
anwosva [an’wɤzva]
anporthadow [ˌanpɔr’θadɔʊ]
anyagh [‘anjax]
apa [‘a:pa]
anpythek [an’pɪθɛk]
aparel [a’parɛl]
anresnadow [ˌanrɛz’nadɔʊ]
apert [a’pɛrt]
anreyth [‘anrɛɪθ]
apertya [a’pɛrtja]
aperya [a’pɛ:rja]
arbeniger [ˌarbɛ’nigɛr]
